query,matched_text,rank
"TS Mindestens eine Massnahme wird eingeführt, um Resten und Überproduktion so weit wie möglich zu vermeiden, zum Beispiel:
-     Die von der Schweizerischen Gesellschaft für Ernährung befürworteten Mengen auf dem Teller servieren, sofern der Konsument nichts Anderes verlangt.
-     Kleine Portionen servieren und einen Nachschlag anbieten.
-     Die Konsumhistorie wird überprüft und dazu verwendet, die Mengen möglichst genau anzupassen. Die Konsumenten werden über das Vorgehen informiert und verstehen, dass das Angebot am Ende des Services reduziert sein kann.","4. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""**",8
"TS Mindestens eine Massnahme wird eingeführt, um Resten und Überproduktion so weit wie möglich zu vermeiden, zum Beispiel:
-     Die von der Schweizerischen Gesellschaft für Ernährung befürworteten Mengen auf dem Teller servieren, sofern der Konsument nichts Anderes verlangt.
-     Kleine Portionen servieren und einen Nachschlag anbieten.
-     Die Konsumhistorie wird überprüft und dazu verwendet, die Mengen möglichst genau anzupassen. Die Konsumenten werden über das Vorgehen informiert und verstehen, dass das Angebot am Ende des Services reduziert sein kann.","- This structured approach to meal planning can help in managing portion sizes and variety, potentially reducing leftovers.",9
"TS Mindestens eine Massnahme wird eingeführt, um Resten und Überproduktion so weit wie möglich zu vermeiden, zum Beispiel:
-     Die von der Schweizerischen Gesellschaft für Ernährung befürworteten Mengen auf dem Teller servieren, sofern der Konsument nichts Anderes verlangt.
-     Kleine Portionen servieren und einen Nachschlag anbieten.
-     Die Konsumhistorie wird überprüft und dazu verwendet, die Mengen möglichst genau anzupassen. Die Konsumenten werden über das Vorgehen informiert und verstehen, dass das Angebot am Ende des Services reduziert sein kann.","5. **""Die Konsumhistorie wird überprüft und dazu verwendet, die Mengen möglichst genau anzupassen.""**",10
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"To match the guideline ""TS Keine Teller werden zu Demonstrationszwecken angerichtet"" (No plates will be arranged for demonstration purposes) with the provided requirements, we need to identify which requirements relate to the preparation and presentation of meals, particularly in the context of public submissions for healthy nutrition in schools and daycare centers.",1
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,Here are the most relevant requirements ranked based on their relevance to the guideline:,2
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""** - This requirement emphasizes the actual meal preparation and does not suggest any demonstration or display of food.",3
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"2. **""Die Planung soll «rollend auf weisses Papier» erfolgen und erlaubt den Standorten ein direktes Mitspracherecht.""** - This indicates that the meal planning is practical and involves input from the locations, rather than being for demonstration purposes.",4
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"3. **""Es werden keine Kopien der Menüpläne gemacht.""** - This suggests that the focus is on actual meal preparation rather than creating displays for demonstration.",5
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"4. **""Die Speisen sind auf die Gruppen à 20 Menüs zu portionieren.""** - This requirement focuses on the practical aspect of meal serving rather than presentation for demonstration.",6
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"5. **""Die Lieferung erfolgt portioniert nach Anzahl Ausgabestellen an den Standorten.""** - This indicates that meals are prepared and delivered in a practical manner, not for display.",7
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"6. **""Die Jury wird 5% aufgrund eines Ernährungsphilosophie auf Basis einer aktuellen wissenschaftlicher Grundlage.""** - While this relates to the philosophy behind meal preparation, it does not directly address the issue of demonstration.",8
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"7. **""Die Anbietenden nehmen zur Kenntnis, dass die Auftraggebenden bei Falschangaben oder Missachtung der obigen Grundsätze: den Zuschlag jederzeit widerrufen und den Vertrag aus wichtigen Gründen vorzeitig auflösen.""** - This is more about compliance and consequences rather than meal presentation.",9
TS Keine Teller werden zu Demonstrationszwecken angerichtet.,"The focus of the guideline is on the practical preparation and serving of meals rather than any form of demonstration or display, which is reflected in the top-ranked requirements.",10
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"To match the guideline ""TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet"" with the provided requirements, we need to identify which requirements relate to the management of food waste, composting, or biogas production.",1
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,Here are the most relevant requirements ranked based on their relevance to the guideline:,2
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"1. **""Nachhaltigkeit - Minimierung von Foodwaste - Nachhaltige Verpackung / Gebinde""** - This directly addresses the minimization of food waste, which is closely related to the guideline about composting food waste.",3
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"2. **""Die Küche verpflichtet sich zum Einsatz von Fleisch aus IP Suisse-Produktion, das Volumen entspricht dem Vorgaben der Eignungskriterien.""** - While this requirement focuses on sourcing, it implies a commitment to sustainable practices, which can include waste management.",4
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"3. **""Die Anlieferung der bestellten Ware erfolgt in der Regel innert 3 Tagen, spätestens aber innert Wochenfrist.""** - This requirement relates to the freshness of food, which can impact waste levels if food is not wasted due to spoilage.",5
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"4. **""Die angelieferte Verpflegung wird von einzelnen Betreuungseinrichtungen individuell mit Rohkost ergänzt.""** - This indicates a focus on fresh ingredients, which can help reduce waste if managed properly.",6
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"5. **""Die Einhaltung der Vorgaben wird im Rahmen eines Controllings jährlich überprüft und anschliessend mit dem Anbietenden besprochen.""** - This suggests a system of accountability that could include waste management practices.",7
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"6. **""Umweltgerechte Fahrzeuge mit tiefem Treibstoffverbrauch sind im Einsatz.""** - While this is more about transportation sustainability, it can indirectly relate to the overall sustainability of the food supply chain, including waste management.",8
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"7. **""Die vollständige Verantwortung des Anbietenden wird durch das Beiziehen von Subunternehmenden nicht beeinträchtigt.""** - This indicates that the main contractor is responsible for all aspects of the service, which could include waste management practices.",9
TS Alle kompostierbaren Lebensmittelabfälle werden in Form von Kompost und/oder Biogas verwertet.,"These requirements collectively emphasize sustainability and waste management, aligning with the guideline regarding the composting and biogas utilization of food waste.",10
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.","To match the guideline regarding best practices for reducing food waste with the requirements from the public submission for healthy nutrition in Biel, we can identify the most relevant requirements based on the practices outlined in the guideline. Here’s a ranked list of the most relevant requirements:",1
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.","1. **Die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen** - This aligns directly with the need to monitor food waste, which is a key practice in the guideline.",2
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.","2. **die Entwicklung eines Inventars der Lebensmittelabfälle** - Developing an inventory of food waste is crucial for understanding the sources and types of waste generated, which is emphasized in the guideline.",3
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.","3. **die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen** - This practice involves analyzing sales data to adjust food orders, which helps in minimizing overproduction and waste.",4
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.",4. **die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)** - Developing strategies to prevent overproduction directly addresses the issue of food waste.,5
"TS Die Bieter müssen über schriftliche Verfahren verfügen, in denen bewährte Verfahren zur Vermeidung von Lebensmittelabfällen beschrieben werden. Zu diesen ewährten Verfahren zählen Folgende [auszuwählen]:
- die Einrichtung eines genauen Warenbestands- und Bestellsystems, um zu große Bestellungen und das Verderben der Waren zu vermeiden
- die Entwicklung eines Inventars der Lebensmittelabfälle: dies bedeutet die Überwachung aller Prozesse, um die Arten und Quellen der Abfallerzeugung vor Ort festzustellen, einschließlich flüssiger Lebensmittelabfälle (z. B. Getränke)
- die fortlaufende oder regelmäßige Messung der Menge an Lebensmittelabfällen
- die Lagerung der Lebensmittel nach dem System „von hinten nach vorne“ (First-in First-out) und die regelmäßige Kontrolle des Verfallsdatums
- direkte Verwendung von Lebensmitteln, die sich ihrem Verfallsdatum nähern (flexible Menüplanung)
- die Sicherstellung, dass Lebensmittel unter geeigneten Bedingungen gelagert werden
- die Vermeidung, zu große Mengen Fleisch, Fisch und Gemüse aufzuschneiden oder die erneute Verwendung dieser zu viel abgeschnittenen Stücke
- die Durchführung einer langfristigen Analyse der verkauften Gerichte, um die Lebensmittelbestellungen anzupassen (an Wochentage, die Saison und an externe Faktoren, wie Ferien oder größere Veranstaltungen) und einer Analyse der Verwendung übrig gebliebener Lebensmittel oder von Lebensmitteln, die sich ihrem Verfallsdatum nähern. - die Entwicklung von Strategien gegen die Überproduktion von Mahlzeiten (z. B. Einfrieren)
- eine effiziente Bestellung und Lagerung: häufige Bestellung verderblicher Erzeugnisse in den benötigten Mengen
- die Lagerung verderblicher Erzeugnisse unter geeigneten Bedingungen (z. B. richtig eingestellte Kühlgeräte)
- die Vermeidung von Verlusten bei der Zubereitung und die Schulung der Mitarbeiter
- das rasche Abkühlen von Lebensmitteln, um das Wachstum von Mikroorganismen zu vermeiden
- keine Gerichte zu Präsentationszwecken zuzubereiten (verwenden Sie stattdessen Fotografien)
- die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen
- die Auswahl von Packungen (unter Berücksichtigung von Aspekten wie dem Format, dem Schutz, der Konservierung, den Portionen usw.), die die Erzeugung von Lebensmittelabfällen verringern
- die Verwendung von Tüten für Essensreste und/oder interne Verfahrensweisen, nach denen die Mitarbeiter unverkaufte Speisen essen und gegebenenfalls die Vorbereitung einer sicheren Umverteilung überschüssiger Lebensmittel
- nicht zu fordern, dass von Anfang bis Ende des Zeitraums, in dem die Dienstleistung angeboten wird, alle Gerichte anzubieten sind
- die Sensibilisierung der Kunden für Lebensmittelverschwendung und für die Ursachen derselben (z. B. durch Poster) - die Steigerung der Akzeptanz der Kunden für Nachhaltigkeitsmaßnahmen mit Hilfe von Kommunikation
- die Durchführung eines Systems, das es den Kunden ermöglicht, Feedback zu den Portionsgrößen und zur Qualität der zubereiteten Mahlzeiten zu geben (z. B. eine Umfrage über Reste auf den Tellern unter Verwendung von Feedbackbögen) und danach die Durchführung geeigneter Maßnahmen.",5. **die Portionsgrößen der Mahlzeiten an die Kunden anzupassen oder die Bereitstellung von mehreren Portionsgrößen** - Adjusting portion sizes to better match customer needs can significantly reduce food waste.,6
